player_sum,dealer_card,usable_ace,q_value
23,3,0,[0. 0. 0. 0. 0.]
13,3,0,[-0.29757036 -0.22374573  0.          0.          0.        ]
9,10,0,[-0.25280921 -0.05136302  0.          0.          0.        ]
13,9,0,[-0.35671091 -0.27386954  0.          0.          0.        ]
23,2,0,[0. 0. 0. 0. 0.]
13,2,0,[-0.25545503 -0.2456492   0.          0.          0.        ]
21,10,1,[0.88722307 0.13180579 0.         0.         0.        ]
18,5,0,[ 0.17837272 -0.17897905  0.00695611 -0.00596711 -0.01394408]
17,5,0,[-0.05723387 -0.21069142  0.          0.          0.        ]
26,5,0,[0. 0. 0. 0. 0.]
14,4,0,[-0.19445974 -0.27599848 -0.05772737 -0.05612253 -0.05625698]
20,10,1,[0.42027321 0.03505158 0.         0.         0.        ]
23,7,0,[0. 0. 0. 0. 0.]
16,7,0,[-0.42788123 -0.36296421  0.09664852 -0.00646114 -0.00597803]
13,6,0,[-0.15283939 -0.19412308  0.          0.          0.        ]
10,2,0,[-0.05913807  0.27866534 -0.01193824 -0.00398603  0.00395611]
15,3,0,[-0.27377471 -0.32769306  0.          0.          0.        ]
13,5,1,[-0.00984885  0.14865075  0.          0.          0.        ]
20,8,1,[0.76900801 0.02403656 0.         0.         0.        ]
17,4,0,[-0.10163977 -0.23245065  0.          0.          0.        ]
23,4,0,[0. 0. 0. 0. 0.]
19,1,0,[-0.10677496 -0.34113274  0.          0.          0.        ]
16,2,1,[-0.02214881  0.10545473  0.          0.          0.        ]
22,1,0,[0. 0. 0. 0. 0.]
22,4,0,[0. 0. 0. 0. 0.]
12,1,0,[-0.42906862 -0.29724274 -0.18661654 -0.1863195  -0.18692328]
8,8,0,[-0.05307799  0.10440303 -0.00398404 -0.00448204 -0.01795875]
16,4,0,[-0.19362663 -0.27133292  0.02503621 -0.01623871 -0.01981891]
21,4,1,[0.88374462 0.06439022 0.         0.         0.        ]
27,4,0,[0. 0. 0. 0. 0.]
15,6,0,[-0.13726093 -0.17722275  0.          0.          0.        ]
21,4,0,[ 0.858278   -0.13047402  0.          0.          0.        ]
31,4,0,[0. 0. 0. 0. 0.]
23,5,0,[0. 0. 0. 0. 0.]
14,3,0,[-0.25986113 -0.30097792 -0.08458209 -0.0943448  -0.09530521]
7,10,0,[-0.1992883  -0.06146975  0.          0.          0.        ]
24,6,0,[0. 0. 0. 0. 0.]
22,6,0,[0. 0. 0. 0. 0.]
17,6,0,[ 0.04997897 -0.17436506  0.          0.          0.        ]
19,5,0,[ 0.40634023 -0.19322304  0.          0.          0.        ]
5,10,0,[-0.10890455 -0.04570459  0.          0.          0.        ]
18,8,0,[ 0.09437071 -0.19742367 -0.00599001 -0.00448204 -0.01587454]
29,2,0,[0. 0. 0. 0. 0.]
20,9,1,[0.05882109 0.2748499  0.         0.         0.        ]
11,4,0,[-0.02789202  0.3513023   0.          0.          0.        ]
20,7,0,[ 0.76729513 -0.27747904  0.0883636  -0.06054138 -0.21954514]
18,9,0,[-0.18176474 -0.33237097 -0.13539346 -0.13479787 -0.1354294 ]
16,6,0,[-0.15911667 -0.22839171  0.09756881 -0.00744773 -0.01393423]
28,2,0,[0. 0. 0. 0. 0.]
20,6,1,[0.64682713 0.03128293 0.         0.         0.        ]
19,10,1,[-0.01370688  0.01554196  0.          0.          0.        ]
29,10,0,[0. 0. 0. 0. 0.]
18,3,0,"[ 1.44746600e-01 -1.99781546e-01 -4.97109971e-03 -3.98602797e-03
  5.98801399e-06]"
31,10,0,[0. 0. 0. 0. 0.]
7,2,0,[-0.02270097  0.05058188  0.          0.          0.        ]
19,6,0,[ 0.46517141 -0.19979733  0.          0.          0.        ]
27,6,0,[0. 0. 0. 0. 0.]
22,9,0,[0. 0. 0. 0. 0.]
27,5,0,[0. 0. 0. 0. 0.]
9,4,0,[-0.04602537  0.2015249   0.          0.          0.        ]
21,3,1,[0.8355083  0.05319682 0.         0.         0.        ]
20,3,1,[0.05356855 0.27128464 0.         0.         0.        ]
25,4,0,[0. 0. 0. 0. 0.]
17,7,0,[-0.11532727 -0.24924665  0.          0.          0.        ]
13,8,0,[-0.32944432 -0.2195378   0.          0.          0.        ]
21,8,0,[ 0.91816009 -0.19502749  0.          0.          0.        ]
16,8,0,[-0.48709515 -0.42627611 -0.05715698 -0.08821102 -0.09003931]
12,4,0,[-0.19700632 -0.13056503 -0.11142301 -0.11103766 -0.09329464]
13,7,0,[-0.31229003 -0.1588726   0.          0.          0.        ]
6,7,0,[-0.02137542  0.11099178 -0.00298703 -0.00448204 -0.009974  ]
18,8,1,[-0.00462636  0.16696732  0.          0.          0.        ]
20,8,0,[ 0.76232047 -0.28009819  0.02799172 -0.07182562 -0.24915292]
30,8,0,[0. 0. 0. 0. 0.]
20,9,0,[ 0.74871203 -0.28647107 -0.00239118 -0.07096798 -0.22359008]
10,9,0,[-0.08042874  0.27618457 -0.00995613 -0.00299251  0.00197207]
4,7,0,[-0.00398502  0.05142244 -0.00099501 -0.002495   -0.00796805]
16,1,1,[-0.03594011  0.00027496  0.          0.          0.        ]
17,8,0,[-0.32301461 -0.41833596  0.          0.          0.        ]
27,8,0,[0. 0. 0. 0. 0.]
12,6,0,[-0.14336192 -0.13090071 -0.04511833 -0.06141986 -0.06144027]
17,10,1,[-0.10565375  0.02927498  0.          0.          0.        ]
14,10,1,[-0.11082417 -0.04647906  0.          0.          0.        ]
15,3,1,[-0.02044559  0.11021419  0.          0.          0.        ]
14,3,1,[-0.02814288  0.09186901  0.          0.          0.        ]
20,5,0,[ 0.64108518 -0.20968076  0.02482507 -0.06185844 -0.22613992]
29,5,0,[0. 0. 0. 0. 0.]
12,9,0,[-0.31247317 -0.18374516 -0.15660108 -0.15573164 -0.15656688]
11,3,0,[-0.03260807  0.34482978  0.          0.          0.        ]
8,3,0,[-0.03526822  0.10636254 -0.00300392 -0.002495   -0.00195827]
16,3,0,[-0.23384771 -0.30877103 -0.02058008 -0.03475131 -0.03749491]
25,3,0,[0. 0. 0. 0. 0.]
18,1,1,[-0.02507258 -0.00467874  0.          0.          0.        ]
14,5,1,[0.00196921 0.14492885 0.         0.         0.        ]
6,1,0,[-0.04561914 -0.04461425 -0.04545862 -0.04488002 -0.04533575]
24,2,0,[0. 0. 0. 0. 0.]
18,2,0,[ 0.10957509 -0.19077015  0.00498802 -0.00646114 -0.01197004]
20,5,1,[0.65747675 0.02811779 0.         0.         0.        ]
10,6,0,"[-1.46669668e-02  3.43385391e-01 -5.98800800e-06 -3.48951748e-03
  5.96606593e-03]"
15,5,1,[-0.01160339  0.14025157  0.          0.          0.        ]
7,1,0,[-0.06749401 -0.01508702  0.          0.          0.        ]
15,9,0,[-0.46898505 -0.40418658  0.          0.          0.        ]
19,9,0,[ 0.28418486 -0.25688478  0.          0.          0.        ]
16,4,1,[-0.00477983  0.1381956   0.          0.          0.        ]
13,4,1,[0.00189627 0.14836015 0.         0.         0.        ]
12,4,1,"[-4.98502897e-03  8.77399724e-02  9.96009984e-03 -4.97755990e-03
  9.98401399e-06]"
14,1,1,[-0.03139718  0.01253855  0.          0.          0.        ]
21,6,0,[ 0.85311378 -0.09579473  0.          0.          0.        ]
17,9,0,[-0.41375321 -0.47052141  0.          0.          0.        ]
4,10,0,[-0.11035107 -0.11041664 -0.11019469 -0.11025857 -0.1112532 ]
10,3,0,"[-6.98017994e-02  2.86740312e-01 -1.98401999e-03 -3.98602797e-03
  7.99200200e-06]"
29,3,0,[0. 0. 0. 0. 0.]
6,4,0,[-0.00781567  0.06504686  0.00897395 -0.00448204  0.00600193]
5,8,0,[-0.02157379  0.05944379  0.          0.          0.        ]
16,5,0,[-0.14768869 -0.25527697  0.02842989 -0.02439719 -0.02773385]
25,1,0,[0. 0. 0. 0. 0.]
21,8,1,[0.92604772 0.07480237 0.         0.         0.        ]
22,2,0,[0. 0. 0. 0. 0.]
23,8,0,[0. 0. 0. 0. 0.]
21,2,1,[0.87855721 0.05177907 0.         0.         0.        ]
21,1,0,[ 0.62783191 -0.21764898  0.          0.          0.        ]
27,1,0,[0. 0. 0. 0. 0.]
13,9,1,[-0.03203547  0.08623515  0.          0.          0.        ]
11,5,0,[-0.03589207  0.36534008  0.          0.          0.        ]
26,3,0,[0. 0. 0. 0. 0.]
14,5,0,[-0.15575162 -0.22914623  0.03619011 -0.00744773 -0.00994616]
9,5,0,[-0.01893948  0.21937241  0.          0.          0.        ]
26,6,0,[0. 0. 0. 0. 0.]
29,4,0,[0. 0. 0. 0. 0.]
